"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","SOX2","EOMES","MYT1L","Zone"
"SRR2967414",-8.58745565613924,1.44128307392978,"4",28.2639586558577,"N_like","BP1",0.336588464180998,7.74880334946358,1.38656817812479,"oSVZ"
"SRR2967415",-19.6102585409672,-1.48500688213128,"5",39.7951487438841,"N_like","N1",4.06570154867168,0.412416267289756,0,"CP"
"SRR2967416",13.8921149209172,-4.37649817795283,"1",0.943099900996577,"AP_like","AP1",0,0,4.06530518494014,"VZ"
"SRR2967417",13.8709751589885,-4.36134120260402,"1",0.966571448736242,"AP_like","AP1",0,0,7.49329507050358,"VZ"
"SRR2967418",13.411932941511,-4.51547338341334,"1",1.0527241668149,"AP_like","AP1",0,0,1.86465961766763,"VZ"
"SRR2967419",-1.4534609916152,2.09352229959209,"4",21.1028984828508,"BP_like","BP1",0,0.819471996327726,0,"oSVZ"
"SRR2967420",13.5115462225858,-4.50480356142197,"1",1.01406766028436,"AP_like","AP1",0,0.282682952025103,6.52436148932734,"VZ"
"SRR2967421",14.3512328529785,0.590503702183674,"7",8.17988665588636,"AP_like","AP2",0,0.336603316437188,4.31482701478368,"VZ"
"SRR2967422",14.7755751689387,1.0066673715531,"7",8.62841779614034,"AP_like","AP2",0,0,6.07967677482759,"iSVZ"
"SRR2967423",-8.61541109465641,1.58365548513982,"4",28.2532193668643,"N_like","BP1",0,0,0,"oSVZ"
"SRR2967424",-2.1530925995178,2.60336183278474,"4",21.7199403651466,"BP_like","BP1",0.361184426925805,0,0,"oSVZ"
"SRR2967425",-17.8590078821399,-0.84464865223787,"5",37.9372535101806,"N_like","N1",3.56385367859063,1.01365520178276,0,"CP"
"SRR2967426",6.92093138418072,4.94374565334654,"3",13.338802972918,"BP_like","BP2",2.30623890439896,0.580692543290803,0.831796188631698,"iSVZ"
"SRR2967427",1.63935190324181,3.36702517776545,"4",17.8780426710069,"BP_like","BP1",0,0,0.94097480931168,"oSVZ"
"SRR2967428",13.1998235974539,-4.77559260697097,"1",0.926990530545213,"AP_like","AP1",0,0,5.73169102865303,"VZ"
"SRR2967429",13.9981778582406,-4.31322936395165,"1",0.947431076785867,"AP_like","AP1",0,0,0,"VZ"
"SRR2967430",-10.0993158919008,1.10815322205072,"4",29.8050997869721,"N_like","BP1",3.04109576094078,0,0,"oSVZ"
"SRR2967431",-19.0813893734166,-1.58983055381117,"5",39.3171356076922,"N_like","N1",2.95773262562028,0,0,"CP"
"SRR2967432",-5.44484755907735,2.085516890224,"4",25.0521483704839,"BP_like","BP1",1.23264233928922,2.3459129505426,0,"oSVZ"
"SRR2967433",6.45174206747443,4.93471065217142,"3",13.1731981646973,"BP_like","BP2",2.78468614046929,0,0,"iSVZ"
"SRR2967434",-13.3651032327251,0.462184549186097,"5",33.2697092520808,"N_like","N1",1.16923875661394,0,1.26067607744077,"oSVZ"
"SRR2967435",-11.2457670747237,-1.64355632016123,"6",33.553221214657,"N_like","N2",0,0,5.08488490440721,"oSVZ"
"SRR2967436",-13.4209892902024,0.699753161155962,"5",33.268250976107,"N_like","N1",0,0,0,"oSVZ"
"SRR2967437",-14.7875172076725,0.119980389598548,"5",34.7333574851914,"N_like","N1",4.18246983839916,0,0.73814523630177,"CP"
"SRR2967438",-1.44994681625686,3.12797468787248,"4",20.9468449197394,"BP_like","BP1",0,0,0,"oSVZ"
"SRR2967439",2.03964126664214,3.38689019047779,"4",17.4833871249899,"BP_like","BP1",2.77832634261511,0,0,"oSVZ"
"SRR2967440",-12.7048043634473,0.837399476616844,"5",32.5499580478335,"N_like","N1",4.28209132167335,0,1.45789367319723,"oSVZ"
"SRR2967441",-11.3831714741854,-1.73239342723401,"6",33.6203790971872,"N_like","N2",0,0,9.20914627285415,"oSVZ"
"SRR2967442",-8.52035444300734,2.01548751328771,"4",28.050811829317,"N_like","BP1",4.67647616864816,0,0.930967393602147,"oSVZ"
"SRR2967443",-10.7254950023079,-1.62533725854378,"6",33.6134843861805,"N_like","N2",0,0.241649845067328,5.77947248381303,"oSVZ"
"SRR2967444",-15.1644882154454,0.16979802194344,"5",35.0819285191325,"N_like","N1",4.0080834545129,0,0,"CP"
"SRR2967445",-19.0649154937621,-0.933980598208015,"5",39.1166178283421,"N_like","N1",0,0,0.454515992145206,"CP"
"SRR2967446",-3.09591174286591,2.83204165831753,"4",22.6210810979777,"BP_like","BP1",0,0,0,"oSVZ"
"SRR2967447",-1.05775829530714,3.43074729486919,"4",20.5214857470517,"BP_like","BP1",0,0,1.94970673889513,"oSVZ"
"SRR2967448",-5.45143490175515,2.09406582686948,"4",25.0573577619931,"BP_like","BP1",0,0,0,"oSVZ"
"SRR2967449",6.8703484349511,4.78643065348142,"3",13.1736066241687,"BP_like","BP2",2.42809682018114,0,6.09019924346878,"iSVZ"
"SRR2967450",-10.2409795345536,1.52137259349664,"4",29.8140006188444,"N_like","BP1",0,0,0,"oSVZ"
"SRR2967451",13.3296490235627,-4.88440802071686,"1",0.769074008712696,"AP_like","AP1",1.856914001291,0.443899403999735,8.63075491923525,"VZ"
"SRR2967452",-4.66574701330005,2.25986253462178,"4",24.2556669326853,"BP_like","BP1",4.28083756861177,0,0.879827292539454,"oSVZ"
"SRR2967453",-10.9520743833167,-1.47656402287895,"6",33.4323129607887,"N_like","N2",0,0,8.74240039122287,"oSVZ"
"SRR2967454",6.73315902503758,4.92880725208897,"3",13.2618594046211,"BP_like","BP2",0.444230270117799,0,0,"iSVZ"
"SRR2967455",12.9556892004002,-5.54696427191962,"1",0.368632930755054,"AP_like","AP1",0,0.544164861642224,4.95711597496823,"VZ"
"SRR2967456",-8.97552877842961,1.51638609199898,"4",28.6148745837332,"N_like","BP1",0,0,0,"oSVZ"
"SRR2967457",6.33583058158349,5.07215532745538,"3",13.2639290138281,"BP_like","BP2",0,0,0,"iSVZ"
"SRR2967458",-17.7466496490595,-1.21853608919732,"5",37.9299245419921,"N_like","N1",4.43688806891194,0,4.71969273037631,"CP"
"SRR2967459",-6.97162356493145,2.38284554306009,"4",26.4818948456558,"BP_like","BP1",5.54514982746818,0,0,"oSVZ"
"SRR2967460",6.84287676430313,4.86817281528024,"3",13.2414498112962,"BP_like","BP2",0,0,1.52675493050504,"iSVZ"
