"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","PAX6","EOMES","MYT1L","Zone"
"SRR2967262",-12.5720335591421,0.269190072407183,"5",32.544291976148,"N_like","N1",3.6096485996724,0,0,"oSVZ"
"SRR2967263",-19.9243852105104,-2.28897348007305,"5",40.3230091070635,"N_like","N1",1.08101232491167,0,0,"CP"
"SRR2967264",12.622500901043,-3.41780134510839,"1",2.38259885562802,"AP_like","AP1",1.13129973098909,0,6.84214916929542,"VZ"
"SRR2967265",1.56002099450599,3.4490106897126,"4",17.9511819449151,"BP_like","BP1",0,0,0.273026454081235,"oSVZ"
"SRR2967266",-6.6718064836428,2.06538894129647,"4",26.2643734339085,"BP_like","BP1",5.5092999647965,0,0.373687183756816,"oSVZ"
"SRR2967267",-12.9067117693254,0.111354576517857,"5",32.9054712537289,"N_like","N1",3.08496056683495,0,0.267298475440547,"oSVZ"
"SRR2967268",-20.2340578646805,-1.88876249493388,"5",40.5074609036523,"N_like","N1",3.90190951770375,0,0,"CP"
"SRR2967269",-13.7330909190469,0.444063132602375,"5",33.6305646290485,"N_like","N1",4.77565636725804,0,0,"oSVZ"
"SRR2967270",-18.5228038112439,-1.07901061683313,"5",38.6372619550536,"N_like","N1",0.0922640079567575,0,0,"CP"
"SRR2967271",1.61272213372542,3.40165691321892,"4",17.9020762710443,"BP_like","BP1",7.7543797979181,0,0,"oSVZ"
"SRR2967272",-18.7888218385358,-1.44097366652612,"5",38.9944492109521,"N_like","N1",7.2740286490558,0,0,"CP"
"SRR2967273",-19.9767089159577,-1.39467302258799,"5",40.1213698541277,"N_like","N1",4.72370053053151,0,0,"CP"
"SRR2967274",12.7785548784993,-3.6044363391432,"1",2.15149891088042,"AP_like","AP1",7.22539062468305,6.39687873879685,5.26265865507222,"VZ"
"SRR2967275",-20.0300860200992,-1.82320345212121,"5",40.2932721314248,"N_like","N1",7.33930666356127,0,0.0430177089906451,"CP"
"SRR2967276",-19.2375330544733,-1.1814665503532,"5",39.351977816375,"N_like","N1",7.67881137855138,0,0,"CP"
"SRR2967277",-19.2994537790285,-1.28724166802694,"5",39.4411895914839,"N_like","N1",5.41582963693731,0,0,"CP"
"SRR2967278",-19.8627753305135,-1.58797217253928,"5",40.0664736531892,"N_like","N1",2.31432529203779,0.374746830075313,0,"CP"
"SRR2967279",-19.0913099834892,-1.00082554072378,"5",39.1607760124651,"N_like","N1",8.59361894790245,0,0,"CP"
"SRR2967280",-4.28512958650181,2.66457905642714,"4",23.8213466993745,"BP_like","BP1",0.371698246703747,0,0,"oSVZ"
"SRR2967281",-11.6548171043987,1.03663788915193,"4",31.2989954707409,"N_like","BP1",7.23519092704256,0,0,"oSVZ"
"SRR2967282",1.1174492683123,3.38708683309329,"4",18.3917987638764,"BP_like","BP1",5.73567380394222,0,0,"oSVZ"
